Handle,Title,"Option1 Value","Option2 Value","Option3 Value",SKU,ID,Vendor,Type,Published,"global[""description_tag""]:string","global[""title_tag""]:string","custom_fields[""roast_level""]:string","custom_fields[""grind""]:string","custom_fields[""region""]:string","custom_fields[""cup""]:string","custom_fields[""origin""]:string","custom_fields[""roaster_ship_day""]:string","custom_fields[""roaster_page""]:string","mc-facebook[""google_product_category""]:string","mc-facebook[""condition""]:string","custom_fields[""country""]:string","custom_fields[""certifications""]:list.single_line_text_field","govalo[""giftable_product""]:single_line_text_field","custom_fields[""growing_altitude""]:string","custom_fields[""variety""]:string","global[""harmonized_system_code""]:string","govalo[""bold""]:single_line_text_field","govalo[""giftCard""]:boolean","seo[""hidden""]:number_integer","govalo[""boldSourceId""]:single_line_text_field","mm-google-shopping[""google_product_category""]:string"
primavera-decaf,"Primavera Decaf",,,,,8048511877290,"Arcade Coffee Roasters","12 oz. bag",,,"Arcade Coffee Roasters - Lomas Altas Guatemala",Medium,"Whole Bean","Huehuetenango & Jalapa, Guatemala","Caramel, Milk Chocolate, Floral",Guatemala,Tuesday,/pages/arcade-coffee-roasters,1868,new,Colombia,[],,"1500 - 1800 MASL","Caturra, Bourbon, Catuaí",,,,,,
primavera-decaf,,"Default Title",,,sw0125,,,,,,,,,,,,,,,,,,,,,,,,,,
nicaragua-idealista-carbonic-natural,"Nicaragua Idealista Carbonic Natural",,,,,8056075157674,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Colombia El Vergel Anaerobic Natural",Light,"Whole Bean",,"Blackberry jam, shortbread, dried mango","Jinotega, Nicaragua",Weekdays,/pages/equator-coffees,1868,new,,[],,"4,430 MASL",Various,,,,,,
nicaragua-idealista-carbonic-natural,,"Default Title",,,sw-0138,,,,,,,,,,,,,,,,,,,,,,,,,,
nicaragua-idealista-carbonic-natural-2-lb,"Nicaragua Idealista Carbonic Natural—2 lb",,,,,8056075419818,"Equator Coffees","2lb bag",,,"Equator Coffees — Colombia El Vergel Anaerobic Natural",Light,"Whole Bean",,"Blackberry jam, shortbread, dried mango","Jinotega, Nicaragua",Weekdays,/pages/equator-coffees,1868,new,,[],,"4,430 MASL",Various,,,,,,
nicaragua-idealista-carbonic-natural-2-lb,,"Default Title",,,sw-0129,,,,,,,,,,,,,,,,,,,,,,,,,,
yesso-espresso-2lb,"Yesso! Espresso - 2lb",,,,,8056077156522,Savorista,"2 lb bag",true,,"Savorista - Yesso! Espresso","Medium Dark","Whole Bean","South America, East Africa","Dark Chocolate, Strawberries, Dried Cherries",Blend,"Tuesday and Friday",/pages/savorista,1868,new,,,false,"1600-2100 MASL","Castillo, Heirloom",,,,,,
yesso-espresso-2lb,,"Default Title",,,sw0130,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico,Mexico,,,,,8064608633002,"Cafe Grumpy","12 oz. bag",,,"Cafe Grumpy - Mexico",Medium,"Whole Bean",Veracruz,"Maple sugar, dark chocolate, orange, and sweet plum",Mexico,Weekdays,/pages/cafe-grumpy,1868,new,,[],,,,,,,,,
mexico,,"Default Title",,,sw0126,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf,"Organic Whirling Dervish Decaf",,,,,8072764391594,"Dancing Goats Coffee","12 oz. bag",,,"Dancing Goats Coffee - Dancing Goats® Blend",Medium,"Whole Bean",,"Molasses, Cherry, Chocolate",Blend,Thursday,/pages/dancing-goats-coffee,1868,new,,[],false,,,,,,,,
organic-whirling-dervish-decaf,,"Default Title",,,sw0139,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,"Mexico (Copy)",,,,,8074519642282,"Cafe Grumpy","12 oz. bag",,,"Cafe Grumpy - Peru",Medium,"Whole Bean",Veracruz,"Maple sugar, dark chocolate, orange, and sweet plum",Mexico,Weekdays,/pages/cafe-grumpy,1868,new,,[],,,,,,,,,
mexico-copy,,12oz,"Whole Bean",,sw0127-12oz,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,12oz,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,12oz,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,12oz,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,2lb,"Whole Bean",,sw0127-2lb,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,2lb,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,2lb,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mexico-copy,,2lb,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,"Organic Whirling Dervish Decaf (Copy)",,,,,8074596450474,"Dancing Goats Coffee","12 oz. bag",,,"Dancing Goats Coffee - Dancing Goats® Blend",Medium,"Whole Bean",,"Molasses, Cherry, Chocolate",Blend,Thursday,/pages/dancing-goats-coffee,1868,new,,[],false,,,,,,,,
organic-whirling-dervish-decaf-copy,,12oz,"Whole Bean",,sw0140-12oz,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,12oz,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,12oz,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,12oz,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,2lb,"Whole Bean",,sw0140-2lb,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,2lb,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,2lb,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organic-whirling-dervish-decaf-copy,,2lb,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,"Ethiopia Shakisso (Copy)",,,,,8074596581546,"Roast House Coffee","12 oz. bag",,,,Light,"Whole Bean",Guji,"Blueberry waffle, asian pear, and white tea",Ethiopia,Weekdays,/pages/roast-house-coffee,1868,new,,"[""Organic""]",false,"1800 masl","Ethiopian Heirloom",,,,,,
ethiopia-shakisso-copy,,12oz,"Whole Bean",,sw-0141-12oz,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,12oz,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,12oz,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,12oz,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,2lb,"Whole Bean",,sw-0141-2lb,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,2lb,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,2lb,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-shakisso-copy,,2lb,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,"Guatemala Familia Primavera (Copy)",,,,,8074597499050,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Decaf Guatemala Familia Primavera",Light,"Whole Bean","Huehuetenango + Jalapa","Pecan, Vanilla, Buttery Shortbread",Guatemala,Weekdays,/pages/equator-coffees,1868,new,,[],,"1500–1800 MASL"," Bourbon, Catuaí, Caturra",,,,,,
guatemala-familia-primavera-copy,,12oz,"Whole Bean",,sw-0150-12oz,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,12oz,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,12oz,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,12oz,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,2lb,"Whole Bean",,sw-0150-2lb,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,2lb,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,2lb,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guatemala-familia-primavera-copy,,2lb,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,"Colombia Antioquia (Copy)",,,,,8074597695658,"Talking Crow Coffee Roasters","12 oz. bag",,,"Talking Crow Coffee Roasters - Colombia Antioquia",Medium,"Whole Bean",,"Almonds, Cherries, Dark Chocolate",Colombia,Tuesday,/pages/talking-crow-coffee-roasters,1868,new,,[],,"1500–2000 MASL","Bourbon, Caturra, Typica",,,,,,
colombia-antioquia-copy,,12oz,"Whole Bean",,sw-0152-12oz,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,12oz,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,12oz,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,12oz,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,2lb,"Whole Bean",,sw-0152-2lb,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,2lb,Coarse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,2lb,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombia-antioquia-copy,,2lb,Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-natural-sidamo-copy,"Ethiopia Natural Sidamo",,,,,8090606960810,"Manzanita Roasting Company","12 oz. bag",true,"This offering from Guatemala is from Ana Maria Ortega's farm Los Angeles. She has been running the farm since she was 17. This coffee tastes smooth and sweet like berries and chocolate.","Manzanita - Guatemala",Medium,"Whole Bean",Sidama,"Berries, Chocolate",,Weekdays,/pages/manzanita-roasting-company,1868,new,Guatemala,[],false,"1900 MASL",Heirloom,,,,,,
ethiopia-natural-sidamo-copy,,"Default Title",,,sw0131,,,,,,,,,,,,,,,,,,,,,,,,,,
rwandan-retreat,"Rwandan Retreat",,,,,8094399332522,Savorista,"10 oz. bag",,,"Savorista - Rwandan Retreat",Light,"Whole Bean","Western Province","Apricot, plum, honey and cacao nibs",Rwanda,"Tuesday and Friday",/pages/savorista,1868,new,,[],false,"1500 - 2000 MASL",Bourbon,,,,,,
rwandan-retreat,,"Default Title",,,sw0132,,,,,,,,,,,,,,,,,,,,,,,,,,
rwanda-nyamyumba-natural,"Rwanda Nyamyumba Natural",,,,,8095639830698,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Rwanda Nyamyumba Natural",Light,"Whole Bean","Western Province","Strawberry, vanilla, and violet",Rwanda,Weekdays,/pages/equator-coffees,1868,new,,[],,"1500 - 2000 MASL",Bourbon,,,,,,
rwanda-nyamyumba-natural,,"Default Title",,,sw-0134,,,,,,,,,,,,,,,,,,,,,,,,,,
rwanda-nyamyumba-natural-2-lb,"Rwanda Nyamyumba Natural—2 lb",,,,,8095643992234,"Equator Coffees","2lb bag",,,"Equator Coffees — Rwanda Nyamyumba Natural",Light,"Whole Bean","Western Province","Strawberry, vanilla, and violet",Rwanda,Weekdays,/pages/equator-coffees,1868,new,,[],,"1500 - 2000 MASL",Bourbon,,,,,,
rwanda-nyamyumba-natural-2-lb,,"Default Title",,,sw-0135,,,,,,,,,,,,,,,,,,,,,,,,,,
rwanda-nyamyumba-natural-1,"Rwanda Nyamyumba Natural",,,,,8095647465642,"Kuma Coffee","12 oz. bag",true,,"Kuma Coffee - Rwanda Nyamyumba Natural",Medium,"Whole Bean","Western Province","Strawberry, Plum, Black Tea, Milk Chocolate",Rwanda,Weekdays,/pages/kuma-coffee,1868,new,,[],,"1500 - 2000 MASL",Bourbon,,,,,,
rwanda-nyamyumba-natural-1,,"Default Title",,,sw0136,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-suke-quto-natural,"Ethiopia Suke Quto Natural",,,,,8116446134442,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Rwanda Nyamyumba Natural",Light,"Whole Bean",,"Fruit-forward and sweet with complex flavors of plum, blueberry, and spice cake.","Guji Zone, Ethiopia",Weekdays,/pages/equator-coffees,1868,new,,[],,"1,800–2,200 MASL","Local Heirloom",,,,,,
ethiopia-suke-quto-natural,,"Default Title",,,sw-0136,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-suke-decaf,"Ethiopia Suke Decaf",,,,,8116450656426,"Linea Caffe","8.8 oz. bag",true,,,Medium,"Whole Bean","Oromia Region, Guji Zone, Odo Shakisso District","Mango, cocoa, muscovado sugar",Ethiopia,"Tuesday, Thursday",/pages/linea-caffe,1868,new,"El Salvador and Ethiopia","[""Organic""]",false,"1800–2200 MASL","Kurume and Welicho, Ethiopia Heirloom",,,,,,
ethiopia-suke-decaf,,"Default Title",,,sw0138,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-suke-quto,"Ethiopia Suke Quto",,,,,8116750385322,"Roast House Coffee","12 oz. bag",true,,,Light,"Whole Bean",Guji,"Tangerine, blueberry jelly, and cocoa powder",Ethiopia,Weekdays,/pages/roast-house-coffee,1868,new,,"[""Organic""]",false,"1800–200 MASL",Heirloom,,,,,,
ethiopia-suke-quto,,"Default Title",,,sw-0139,,,,,,,,,,,,,,,,,,,,,,,,,,
ethiopia-suke-quto-natural-2-lb,"Ethiopia Suke Quto Natural—2 lb",,,,,8123118715050,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Rwanda Nyamyumba Natural",Light,"Whole Bean",,"Fruit-forward and sweet with complex flavors of plum, blueberry, and spice cake.","Guji Zone, Ethiopia",Weekdays,/pages/equator-coffees,1868,new,,[],,"1,800–2,200 MASL","Local Heirloom",,,,,,
ethiopia-suke-quto-natural-2-lb,,"Default Title",,,sw-0140,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-brazil,"Decaf Brazil",,,,,8150819668138,"Bridge City Coffee","12 oz. bag",,,"Bridge City Coffee - Decaf Brazil",Light,"Whole Bean","Santos, and Minas Gerais","Brown sugar, a mild apple & lemon acidity, with a juicy mouthfeel",Brazil,"Wednesday & Friday",/pages/bridge-city-coffee,1868,new,,[],,,,,,,,,
decaf-brazil,,"Default Title",,,sw0140,,,,,,,,,,,,,,,,,,,,,,,,,,
espresso_coffee,"Espresso Coffee",,,,,8167452049578,"Aroma Ridge Coffee Roasters","16 oz. bag",true,,"Aroma Ridge Coffee Roasters - Espresso",Dark,"Whole Bean",,"Low acidity, nutty and chocolatey flavors, a sweet finish with a desirable crema","Costa Rica","Wednesday & Friday",/pages/aroma-ridge-coffee-roasters,1868,new,,[],,,,,,,,,
espresso_coffee,,"Default Title",,,sw0142,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-kenya-mutheka-othaya,"Decaf Kenya Mutheka Othaya",,,,,8169143009450,"Equator Coffees","12 oz. bag",,,"Equator Coffees — Decaf Kenya Mutheka Othaya",Light,"Whole Bean",,"Juicy and complex with flavors of blackberry, violet, and brown sugar.","Nyeri, Kenya",Weekdays,/pages/equator-coffees,1868,new,,[],,"1,600–1,890 MASL","Baitan, Ruiru-11, SL-28, SL-34",,,,,,1868
decaf-kenya-mutheka-othaya,,"Default Title",,,sw-0146,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-kenya-mutheka-othaya-2-lb,"Decaf Kenya Mutheka Othaya—2 lb",,,,,8169153331370,"Equator Coffees","2 lb bag",,,"Equator Coffees — Decaf Kenya Mutheka Othaya—2 lb",Light,"Whole Bean",,"Juicy and complex with flavors of blackberry, violet, and brown sugar.","Nyeri, Kenya",Weekdays,/pages/equator-coffees,1868,new,,[],,"1,600–1,890 MASL","Baitan, Ruiru-11, SL-28, SL-34",,,,,,1868
decaf-kenya-mutheka-othaya-2-lb,,"Default Title",,,sw-0147,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-el-volcan,"Decaf El Volcan",,,,,8210353062058,"Bridge City Coffee","12 oz. bag",true,,"Bridge City Coffee - Decaf Brazil",Light,"Whole Bean",,"Guava and strawberry with a hint of citrus and a subtle spice finish","Congo, Guatemala, Nicaragua, Brazil, Colombia","Wednesday & Friday",/pages/bridge-city-coffee,1868,new,,[],,,,,,,,,
decaf-el-volcan,,"Default Title",,,sw0148,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-colombia-las-flores-thermal-shock-12oz,"Decaf Colombia Las Flores Thermal Shock—12oz",,,,,8214762913962,"Equator Coffees","12 oz. bag",true,,"Equator Coffees — Decaf Kenya Mutheka Othaya",Light,"Whole Bean","Huila, Colombia","Vibrant and creamy with flavors of strawberry, whipped cream, and guava",Acevedo,Wednesday,/pages/equator-coffees,1868,new,,[],,"1,740 MASL","Pink Bourbon",,,,,,1868
decaf-colombia-las-flores-thermal-shock-12oz,,"Default Title",,,sw0149,,,,,,,,,,,,,,,,,,,,,,,,,,
decaf-colombia-las-flores-thermal-shock-2-lb,"Decaf Colombia Las Flores Thermal Shock—2 lb",,,,,8214763077802,"Equator Coffees","2 lb bag",true,,"Equator Coffees — Decaf Kenya Mutheka Othaya—2 lb",Light,"Whole Bean","Huila, Colombia","Vibrant and creamy with flavors of strawberry, whipped cream, and guava",Acevedo,Wednesday,/pages/equator-coffees,1868,new,,[],,"1,740 MASL","Pink Bourbon",,,,,,1868
decaf-colombia-las-flores-thermal-shock-2-lb,,"Default Title",,,sw0150,,,,,,,,,,,,,,,,,,,,,,,,,,
legacy-decaf-2lb,"Legacy Decaf—2lb",,,,,8244598636714,"Dancing Goats Coffee","12 oz. bag",true,,"Dancing Goats Coffee - Dancing Goats® Blend",Medium,"Whole Bean","East Africa, Central America, Indonesia","Cherry, Chocolate, Spice",Blend,Thursday,/pages/dancing-goats-coffee,1868,new,,[],false,,,,,,,,
legacy-decaf-2lb,,"Default Title",,,sw0028-2,,,,,,,,,,,,,,,,,,,,,,,,,,
